student_id,lesson_title,rating
49,M,5
49,N,3
49,O,5
49,P,5
49,Q,4
49,R,5
49,S,4
49,T,5
49,U,5
50,A,5
50,B,4
50,C,4
50,D,4
50,E,5
50,F,4
50,G,4
50,H,5
50,I,3
50,J,4
50,K,4
50,L,4
50,M,5
50,N,4
50,O,4
50,P,4
50,Q,4
50,R,4
50,S,4
50,T,4
50,U,4
